Date;RUB;USD;EUR
10.01.2018;1;57,0463;68,2103
11.01.2018;1;56,8734;67,8841
12.01.2018;1;56,9957;68,0586
13.01.2018;1;56,6019;68,2562
16.01.2018;1;56,3569;68,8174
17.01.2018;1;56,3878;69,0243
18.01.2018;1;56,5925;69,1730
19.01.2018;1;56,7597;69,2582
20.01.2018;1;56,5892;69,3953
23.01.2018;1;56,6261;69,2650
24.01.2018;1;56,4115;69,0702
25.01.2018;1;56,3888;69,4484
26.01.2018;1;55,9288;69,4580
27.01.2018;1;55,8288;69,6073
30.01.2018;1;56,2908;69,8513
31.01.2018;1;56,2914;69,5424
01.02.2018;1;56,1840;69,9322
02.02.2018;1;56,2613;69,7921
03.02.2018;1;56,0408;70,0958
06.02.2018;1;56,6278;70,4959
07.02.2018;1;57,2196;70,9294
08.02.2018;1;56,9533;70,5310
09.02.2018;1;57,6736;70,7713
10.02.2018;1;58,1718;71,3943
13.02.2018;1;58,0171;71,2450
14.02.2018;1;57,7701;71,1670
15.02.2018;1;57,5899;71,2329
16.02.2018;1;56,5918;70,6718
17.02.2018;1;56,3554;70,6471
20.02.2018;1;56,3438;69,9001
21.02.2018;1;56,5201;69,8928
22.02.2018;1;56,6537;69,8087
23.02.2018;1;56,7608;69,6341
27.02.2018;1;55,9208;68,9224
28.02.2018;1;55,6717;68,6599
01.03.2018;1;56,3742;68,9062
02.03.2018;1;56,4334;68,8826
03.03.2018;1;56,6616;69,4671
06.03.2018;1;57,1000;70,1702
07.03.2018;1;56,5041;69,7317
08.03.2018;1;56,8011;70,5299
13.03.2018;1;56,6122;69,7972
14.03.2018;1;56,9359;70,1564
15.03.2018;1;56,9372;70,5338
16.03.2018;1;57,0188;70,5151
17.03.2018;1;57,4942;70,8099
20.03.2018;1;57,5521;70,6049
21.03.2018;1;57,7033;71,2347
22.03.2018;1;57,4954;70,5699
23.03.2018;1;56,8391;70,3100
24.03.2018;1;57,1072;70,4303
27.03.2018;1;57,0039;70,5708
28.03.2018;1;57,1747;71,2625
29.03.2018;1;57,5598;71,3339
30.03.2018;1;57,7626;71,0942
31.03.2018;1;57,2649;70,5618
03.04.2018;1;57,2850;70,6038
04.04.2018;1;57,5375;70,9207
05.04.2018;1;57,7646;70,9580
06.04.2018;1;57,5796;70,5926
07.04.2018;1;57,8332;70,7069
10.04.2018;1;58,5714;71,8847
11.04.2018;1;62,3699;76,8522
12.04.2018;1;64,0626;79,2839
13.04.2018;1;62,0659;76,7569
14.04.2018;1;61,4311;75,7507
17.04.2018;1;62,2794;76,8403
18.04.2018;1;61,1454;75,8448
19.04.2018;1;61,5539;76,0868
20.04.2018;1;60,8583;75,4034
21.04.2018;1;61,3222;75,6532
24.04.2018;1;61,7655;75,7924
25.04.2018;1;61,6644;75,2121
26.04.2018;1;61,7494;75,3281
27.04.2018;1;62,6027;76,1812
28.04.2018;1;62,7260;75,7605
29.04.2018;1;61,9997;75,2056
04.05.2018;1;63,4860;76,1261
05.05.2018;1;63,2012;75,6392
08.05.2018;1;62,7148;74,8125
09.05.2018;1;63,0066;75,0409
11.05.2018;1;62,5229;74,1772
12.05.2018;1;61,7354;73,5145
15.05.2018;1;61,7684;73,9430
16.05.2018;1;61,9164;73,8601
17.05.2018;1;62,3033;73,7796
18.05.2018;1;61,8215;73,0236
19.05.2018;1;61,9408;73,1769
22.05.2018;1;62,5327;73,3321
23.05.2018;1;61,2610;72,2390
24.05.2018;1;61,5945;72,1826
25.05.2018;1;61,4090;72,0082
26.05.2018;1;61,6659;72,1183
29.05.2018;1;62,2710;72,8322
30.05.2018;1;62,6420;72,5269
31.05.2018;1;62,5937;72,5211
01.06.2018;1;62,0188;72,5806
02.06.2018;1;62,2056;72,7183
05.06.2018;1;61,9290;72,4384
06.06.2018;1;61,9822;72,5130
07.06.2018;1;62,0064;72,8637
08.06.2018;1;61,8125;73,0686
09.06.2018;1;62,6680;73,7916
